iter	Passed	Remaining
0	61	61398
1	61	30872
2	62	20692
3	62	15602
4	63	12552
5	63	10518
6	64	9092
7	64	8003
8	64	7153
9	65	6467
10	65	5902
11	66	5452
12	66	5055
13	66	4716
14	67	4441
15	68	4185
16	68	3954
17	68	3755
18	69	3571
19	69	3405
20	69	3260
21	70	3128
22	70	3015
23	71	2905
24	71	2807
25	72	2720
26	73	2637
27	73	2556
28	74	2482
29	74	2410
30	74	2341
31	75	2282
32	75	2226
33	76	2168
34	77	2124
35	77	2074
36	77	2024
37	78	1981
38	78	1938
39	79	1900
40	79	1863
41	80	1828
42	80	1794
43	81	1761
44	81	1727
45	81	1695
46	82	1670
47	82	1641
48	83	1614
49	83	1590
50	84	1569
51	84	1546
52	85	1523
53	85	1501
54	86	1478
55	86	1455
56	86	1434
57	87	1415
58	87	1401
59	88	1385
60	88	1367
61	89	1350
62	89	1335
63	90	1326
64	91	1310
65	91	1297
66	92	1284
67	92	1269
68	93	1257
69	93	1244
70	94	1230
71	94	1217
72	95	1207
73	95	1197
74	96	1187
75	96	1177
76	97	1168
77	98	1159
78	98	1148
79	98	1136
80	99	1125
81	99	1115
82	99	1103
83	100	1093
84	100	1085
85	101	1075
86	101	1066
87	102	1057
88	102	1049
89	102	1040
90	103	1031
91	103	1023
92	104	1015
93	104	1009
94	105	1003
95	105	996
96	106	988
97	107	986
98	107	979
99	108	972
100	108	967
101	109	959
102	109	954
103	110	947
104	110	941
105	110	935
106	111	929
107	111	922
108	112	916
109	112	910
110	112	904
111	113	899
112	114	898
113	114	892
114	115	886
115	115	880
116	115	874
117	116	868
118	116	863
119	117	858
120	117	853
121	117	847
122	118	843
123	118	837
124	119	834
125	119	829
126	119	824
127	120	820
128	121	817
129	121	813
130	121	808
131	122	804
132	122	800
133	123	795
134	123	792
135	124	788
136	124	785
137	125	782
138	125	780
139	126	775
140	126	771
141	126	766
142	127	762
143	127	758
144	127	754
145	128	751
146	129	748
147	129	745
148	129	742
149	130	738
150	130	736
151	131	732
152	131	729
153	132	726
154	132	722
155	133	719
156	133	717
157	134	715
158	134	713
159	135	710
160	135	706
161	136	703
162	136	702
163	137	700
164	137	697
165	138	694
166	138	691
167	139	689
168	139	687
169	140	684
170	140	682
171	141	679
172	141	676
173	141	673
174	142	670
175	142	668
176	143	665
177	143	664
178	144	663
179	145	661
180	145	659
181	146	657
182	146	655
183	147	653
184	147	651
185	148	649
186	148	646
187	148	643
188	149	640
189	149	637
190	149	635
191	150	632
192	150	629
193	150	627
194	151	624
195	151	622
196	152	620
197	152	617
198	152	615
199	153	612
200	153	610
201	154	608
202	154	606
203	155	605
204	155	604
205	156	601
206	156	599
207	156	597
208	157	594
209	157	592
210	157	590
211	158	588
212	158	586
213	159	584
214	159	582
215	159	580
216	160	578
217	160	577
218	161	574
219	161	573
220	162	571
221	162	570
222	163	568
223	163	566
224	163	564
225	164	563
226	164	561
227	165	559
228	165	558
229	166	557
230	167	555
231	167	554
232	167	552
233	168	550
234	168	549
235	169	547
236	169	546
237	170	544
238	170	543
239	171	541
240	171	540
241	171	538
242	172	536
243	172	534
244	172	533
245	174	533
246	174	532
247	175	532
248	175	530
249	176	528
250	176	527
251	177	526
252	177	524
253	177	522
254	178	521
255	178	519
256	179	517
257	179	516
258	180	515
259	180	513
260	180	511
261	181	510
262	181	509
263	182	507
264	182	506
265	182	504
266	183	503
267	183	501
268	184	500
269	184	499
270	185	497
271	185	496
272	185	494
273	186	493
274	186	492
275	187	491
276	187	489
277	188	488
278	188	487
279	188	485
280	189	484
281	189	483
282	190	482
283	190	481
284	191	479
285	191	478
286	192	477
287	192	476
288	193	474
289	193	473
290	193	472
291	194	470
292	194	469
293	194	467
294	195	466
295	195	465
296	195	463
297	196	462
298	196	461
299	197	460
300	197	459
301	198	458
302	198	457
303	199	455
304	199	454
305	200	453
306	200	452
307	200	451
308	201	450
309	201	449
310	202	448
311	202	447
312	203	445
313	203	444
314	204	443
315	204	442
316	204	441
317	205	440
318	205	439
319	206	438
320	206	437
321	207	436
322	207	435
323	208	434
324	208	433
325	208	431
326	209	430
327	209	429
328	210	428
329	210	427
330	210	426
331	211	425
332	211	424
333	212	423
334	212	422
335	213	421
336	213	420
337	214	419
338	214	418
339	215	417
340	215	416
341	215	415
342	216	414
343	216	413
344	217	412
345	217	411
346	217	410
347	218	409
348	218	407
349	219	406
350	219	405
351	219	404
352	220	403
353	220	403
354	221	402
355	221	401
356	222	400
357	222	398
358	222	398
359	223	397
360	223	395
361	224	394
362	224	393
363	224	392
364	225	391
365	225	390
366	225	389
367	226	388
368	226	387
369	227	386
370	227	386
371	228	385
372	228	384
373	228	383
374	229	381
375	229	380
376	229	380
377	230	379
378	231	378
379	231	377
380	232	377
381	232	376
382	233	376
383	234	375
384	234	374
385	234	373
386	235	372
387	235	371
388	236	370
389	236	369
390	236	368
391	237	368
392	237	367
393	238	366
394	238	365
395	238	364
396	239	363
397	239	362
398	239	361
399	240	360
400	240	359
401	240	358
402	241	357
403	241	356
404	242	355
405	242	355
406	243	354
407	243	353
408	243	352
409	244	351
410	244	350
411	244	349
412	245	348
413	245	347
414	246	347
415	246	346
416	247	345
417	247	344
418	247	343
419	248	342
420	248	341
421	248	340
422	249	340
423	249	339
424	250	338
425	250	337
426	250	336
427	251	335
428	251	334
429	251	333
430	252	333
431	252	332
432	253	331
433	253	330
434	253	329
435	254	328
436	254	328
437	255	327
438	255	326
439	256	325
440	256	325
441	257	324
442	257	323
443	257	322
444	258	321
445	258	321
446	259	320
447	259	319
448	259	318
449	260	317
450	260	317
451	260	316
452	261	315
453	261	314
454	262	313
455	262	313
456	262	312
457	263	311
458	263	310
459	264	310
460	264	309
461	265	308
462	265	308
463	266	307
464	266	306
465	266	305
466	267	304
467	267	304
468	268	303
469	268	302
470	268	301
471	269	301
472	269	300
473	269	299
474	270	298
475	270	297
476	271	297
477	271	296
478	271	295
479	272	294
480	272	294
481	272	293
482	273	292
483	273	291
484	274	291
485	274	290
486	274	289
487	275	288
488	275	288
489	276	287
490	276	286
491	276	285
492	277	285
493	277	284
494	278	284
495	278	283
496	279	282
497	279	281
498	279	281
499	280	280
500	280	279
501	280	278
502	281	278
503	281	277
504	282	276
505	282	275
506	283	275
507	283	274
508	283	273
509	284	273
510	284	272
511	284	271
512	285	271
513	285	270
514	286	269
515	286	268
516	287	268
517	287	267
518	288	267
519	288	266
520	288	265
521	289	264
522	289	264
523	290	263
524	290	262
525	291	262
526	291	261
527	291	260
528	292	260
529	292	259
530	292	258
531	293	257
532	293	257
533	294	256
534	294	255
535	294	255
536	295	254
537	295	253
538	295	253
539	296	252
540	296	251
541	297	251
542	297	250
543	298	249
544	298	249
545	298	248
546	299	247
547	299	247
548	299	246
549	300	245
550	300	245
551	301	244
552	301	243
553	301	243
554	302	242
555	302	241
556	303	240
557	303	240
558	303	239
559	304	238
560	304	238
561	304	237
562	305	237
563	306	236
564	306	236
565	307	235
566	307	234
567	307	234
568	308	233
569	308	232
570	309	232
571	309	231
572	309	230
573	310	230
574	310	229
575	311	228
576	311	228
577	311	227
578	312	226
579	312	226
580	313	225
581	313	225
582	313	224
583	314	223
584	314	223
585	314	222
586	315	221
587	315	221
588	316	220
589	316	219
590	316	219
591	317	218
592	317	218
593	318	217
594	318	216
595	318	216
596	319	215
597	319	214
598	320	214
599	320	213
600	320	212
601	321	212
602	321	211
603	321	210
604	322	210
605	322	209
606	323	209
607	323	208
608	324	208
609	324	207
610	324	206
611	325	206
612	325	205
613	326	205
614	326	204
615	326	203
616	327	203
617	327	202
618	327	201
619	328	201
620	328	200
621	329	200
622	329	199
623	329	198
624	330	198
625	330	197
626	330	196
627	331	196
628	331	195
629	332	195
630	332	194
631	332	193
632	333	193
633	333	192
634	334	192
635	334	191
636	335	191
637	335	190
638	336	189
639	336	189
640	336	188
641	337	188
642	337	187
643	338	186
644	338	186
645	338	185
646	339	185
647	339	184
648	340	184
649	340	183
650	340	182
651	341	182
652	341	181
653	342	180
654	342	180
655	342	179
656	343	179
657	343	178
658	344	178
659	344	177
660	344	176
661	345	176
662	345	175
663	346	175
664	346	174
665	346	173
666	347	173
667	347	172
668	348	172
669	348	171
670	349	171
671	349	170
672	349	169
673	350	169
674	350	168
675	350	168
676	351	167
677	351	167
678	352	166
679	352	165
680	352	165
681	353	164
682	353	164
683	353	163
684	354	162
685	354	162
686	355	161
687	355	161
688	355	160
689	356	160
690	356	159
691	357	158
692	357	158
693	357	157
694	358	157
695	358	156
696	359	156
697	359	155
698	359	154
699	360	154
700	360	153
701	360	153
702	361	152
703	361	152
704	362	151
705	362	150
706	362	150
707	363	149
708	363	149
709	364	148
710	364	148
711	365	147
712	365	147
713	366	146
714	366	146
715	366	145
716	367	144
717	367	144
718	367	143
719	368	143
720	368	142
721	369	142
722	369	141
723	369	141
724	370	140
725	370	139
726	371	139
727	371	138
728	371	138
729	372	137
730	372	137
731	373	136
732	373	136
733	373	135
734	374	134
735	374	134
736	375	133
737	375	133
738	375	132
739	376	132
740	376	131
